family,liability,premium,subsidy,producer_premium,acres,policies,cost_per_dollar_liab
ECO,6201558041.0,2910162408.0,2341896733.0,568265675.0,101184191.0,521821.0,0.09163272700877073
SCO,3415466590.0,862142820.0,693183795.0,168959025.0,57722108.0,303402.0,0.049468797468166716
WFRP,2565840468.0,209119122.0,142543008.0,66576114.0,0.0,1703.0,0.025947097970550833
HIP-WI,962586051.0,194654098.0,156320030.0,38334068.0,6735673.0,73446.0,0.0398240427026508
MP,306494525.0,17519756.0,7758470.0,9761286.0,293856.0,1779.0,0.0318481578096705
MCO,120357027.0,61855218.0,49757822.0,12097396.0,1895195.0,8847.0,0.10051258577531996
STAX,17231436.0,7576645.0,6058932.0,1517713.0,190963.0,6523.0,0.08807814972588471
PACE,105636.0,6947.0,3062.0,3885.0,2176.0,21.0,0.0367772350335113
